item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
TREE MAISON CORONATING HOMES Vastu Aluminium Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction | Aluminium Strip for Vastu | Pack of 2	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AVVKIG6	0.5IN-ALU-STRIP-ST2-.COM	315		2023-06-22 17:43:23 IST		y	1			11				B0C8ZCFQZC						B0C8ZCFQZC				AMAZON_IN	313.0													Template								999.0
TREE MAISON CORONATING HOMES Brass Strip | 0.5 INCH | Pack of 2 | Brass Strip for Vastu | Vastu Strip Remedy | Width-12mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW0JVHJ	0.5IN-BRASS-STRIP-ST2-.COM	499	10	2023-06-22 17:43:23 IST		y	1			11				B0C8ZFRC3Y						B0C8ZFRC3Y			0	DEFAULT	497.0													Template								999.0
TREE MAISON CORONATING HOMES Copper Strip | 0.5 INCH | Pack of 2 | Copper Strip for Vastu | Vastu Strip Remedy | Width-12mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW1VDC5	0.5IN-COPPER-STRIP-ST2-.COM	849		2023-06-22 17:43:23 IST		y	1			11				B0C8ZFPNTJ						B0C8ZFPNTJ				AMAZON_IN	849.0													Template								1499.0
TREE MAISON CORONATING HOMES Iron Strip | 0.5 INCH | Pack of 2 | Iron Strip for Vastu | Vastu Strip Remedy | Width-12mm, Thickness-0.3mm, Length-8 Feet Approx	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW0GW3X	0.5IN-IRON-STRIP-ST2-.COM	299		2023-06-22 17:43:23 IST		y	1			11				B0C8ZDSCHS						B0C8ZDSCHS				AMAZON_IN	297.0													Template								999.0
TREE MAISON CORONATING HOMES Vastu Stainless Steel Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Stainless Steel Strip for Vastu | Pack of 2	The purpose of this metal strips technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0622AW3Y9KH	0.5IN-S.STEEL-STRIP-ST2-.COM	299		2023-06-22 17:43:23 IST		y	1			11				B0C8ZDHT6L						B0C8ZDHT6L				AMAZON_IN	297.0													Template								999.0
TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAK7U9D	0.5MM-25FT-STRIP-0.5INCH-ALUM-ST-1	999	10	2025-12-22 11:37:02 IST		y	1			11				B0GBVRT9H5						B0GBVRT9H5			0	DEFAULT	997.0													Template								1299.0
TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6X6CBQ	0.5MM-25FT-STRIP-0.5INCH-BRASS-ST-1	1499	10	2025-12-20 15:38:20 IST		y	1			11				B0G9S66TB2						B0G9S66TB2			0	DEFAULT	1497.0													Template								1799.0
TREE MAISON CORONATING HOMES Vastu Copper Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6UOWOR	0.5MM-25FT-STRIP-0.5INCH-COPPER-ST-1	1499	10	2025-12-20 15:38:20 IST		y	1			11				B0G9Q5TBGR						B0G9Q5TBGR			0	DEFAULT	1497.0													Template								1799.0
TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6S4EHN	0.5MM-25FT-STRIP-0.5INCH-SS-ST-1	999	10	2025-12-20 15:38:21 IST		y	1			11				B0G9SC55BW						B0G9SC55BW			0	DEFAULT	997.0													Template								1299.0
TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAMU0SY	0.5MM-25FT-STRIP-0.75INCH-ALUM-ST-1	1199	10	2025-12-22 11:37:05 IST		y	1			11				B0GBW5KGR9						B0GBW5KGR9			0	DEFAULT	1197.0													Template								1499.0
TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6WMFY6	0.5MM-25FT-STRIP-0.75INCH-BRASS-ST-1	1999	10	2025-12-20 15:38:23 IST		y	1			11				B0G9QJT9TG						B0G9QJT9TG			0	DEFAULT														Template								2199.0
TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6TWM5X	0.5MM-25FT-STRIP-0.75INCH-COPPER-ST-1	1999	10	2025-12-20 15:38:22 IST		y	1			11				B0G9QVVFRY						B0G9QVVFRY			0	DEFAULT	1997.0													Template								2199.0
TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6TKRQF	0.5MM-25FT-STRIP-0.75INCH-SS-ST-1	1199	10	2025-12-20 15:38:23 IST		y	1			11				B0G9RRRHBD						B0G9RRRHBD			0	DEFAULT	1197.0													Template								1499.0
TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FAP2375	0.5MM-25FT-STRIP-1 INCH-ALUM-ST-1	1499	10	2025-12-22 11:37:08 IST		y	1			11				B0GBVVPPPS						B0GBVVPPPS			0	DEFAULT	1497.0													Template								1799.0
TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6U11TB	0.5MM-25FT-STRIP-1 INCH-BRASS-ST-1	2699	10	2025-12-20 15:38:26 IST		y	1			11				B0G9R9FWFD						B0G9R9FWFD			0	DEFAULT	2697.0													Template								2999.0
TREE MAISON CORONATING HOMES Vastu Copper Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6WMKBW	0.5MM-25FT-STRIP-1 INCH-COPPER-ST-1	2699		2025-12-20 15:38:25 IST		y	1			11				B0G9QMWWB9						B0G9QMWWB9				AMAZON_IN	2697.0													Template								2999.0
TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 1 Inch | Thickness - 0.5mm | Length- 25 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6W3OR9	0.5MM-25FT-STRIP-1 INCH-SS-ST-1	1499	10	2025-12-20 15:38:26 IST		y	1			11				B0G9QDKT9R						B0G9QDKT9R			0	DEFAULT	1497.0													Template								1799.0
TREEMAISON CORONATING Homes Vastu Aluminium Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing | Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6PD764	0.5MM-8FT-STRIP-0.5INCH-ALUM-ST-1	299	20	2025-12-20 15:38:13 IST		y	1			11				B0G9QMJRYB						B0G9QMJRYB			0	DEFAULT	297.0													Template								599.0
TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6QJA0I	0.5MM-8FT-STRIP-0.5INCH-BRASS-ST-1	499		2025-12-20 15:38:12 IST		y	1			11				B0G9QT9SZN						B0G9QT9SZN				AMAZON_IN	497.0													Template								799.0
TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6T4BQR	0.5MM-8FT-STRIP-0.5INCH-COPPER-ST-1	499		2025-12-20 15:38:11 IST		y	1			11				B0G9Q64TXD						B0G9Q64TXD				AMAZON_IN	497.0													Template								799.0
TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6MUYQS	0.5MM-8FT-STRIP-0.5INCH-SS-ST-1	299	10	2025-12-20 15:38:13 IST		y	1			11				B0G9QTKLWR						B0G9QTKLWR			0	DEFAULT	297.0													Template								599.0
TREE MAISON CORONATING HOMES Vastu Aluminium Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1222FARMPCO	0.5MM-8FT-STRIP-0.75INCH-ALUM-ST-1	399	20	2025-12-22 11:36:56 IST		y	1			11				B0GBVS27KH						B0GBVS27KH			0	DEFAULT	397.0													Template								699.0
TREEMAISON CORONATING Homes Vastu Brass Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6PCSLJ	0.5MM-8FT-STRIP-0.75INCH-BRASS-ST-1	699	10	2025-12-20 15:38:15 IST		y	1			11				B0G9R3DV2V						B0G9R3DV2V			0	DEFAULT	697.0													Template								999.0
TREEMAISON CORONATING Homes Vastu Copper Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	1220F6S4N9P	0.5MM-8FT-STRIP-0.75INCH-COPPER-ST-1	699	10	2025-12-20 15:38:14 IST		y	1			11				B0G9R68KGW						B0G9R68KGW			0	DEFAULT	697.0													Template								999.0
TREEMAISON CORONATING Homes Vastu S.Steel Strip | Width- 0.75 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction |Pack of 1	The purpose of this metal strip technique is to block any anti-activity (normally toilets) by install the metal strip on the floor around the toilet seat. This technique can also be used to nullify the ill-effects of the improper entrances.	0327HZRIS6B	0.5MM-8FT-STRIP-0.75INCH-SS-ST-1	399		2026-03-27 12:06:43 IST		y	1			11				B0G9QMK86D						B0G9QMK86D				AMAZON_IN	397.0													Template								699.0
